Dataset,TrainSize,TestSize,MKL_TrainAccuracy,MKL_TestAccuracy,MKL_Precision,MKL_Recall,MKL_F1_Score,MKL_Objective,Baseline_Accuracy,Baseline_Precision,Baseline_Recall,Baseline_F1_Score,SVM_TrainAccuracy,SVM_TestAccuracy,SVM_Precision,SVM_Recall,SVM_F1_Score,Betas,MKL_BestK0,MKL_BestC,MKL_BestLambda,MKL_FitTime,Status
iris,120,30,1.0,1.0,0.9999999998571428,0.9999999998571428,0.9999999993571429,16.78024702483121,0.7666666666666667,0.0,0.0,0.0,1.0,1.0,0.9999999998571428,0.9999999998571428,0.9999999993571429,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",1,10.0,0.01,4.954072952270508,Success
wine,142,36,1.0,1.0,0.999999999875,0.999999999875,0.999999999375,7.706203947442205,0.7777777777777778,0.0,0.0,0.0,1.0,1.0,0.999999999875,0.999999999875,0.999999999375,"0.5634, 0.0, 0.0, 0.0, 0.0, 0.4366, 0.0, 0.0, 0.0, 0.0",2,5.0,10.0,0.006990194320678711,Success
breastcancer,455,114,0.9868131868131869,0.9736842105263158,0.970588235265571,0.9428571428302042,0.9565217386028145,83.22947542034976,0.6929824561403509,0.0,0.0,0.0,0.989010989010989,0.9649122807017544,0.9428571428302042,0.9428571428302042,0.9428571423302041,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",2,5.0,0.01,0.5877561569213867,Success
ionosphere,280,71,0.9964285714285714,0.9436619718309859,0.9347826086753309,0.9772727272505166,0.9555555550345679,125.36243649500064,0.6197183098591549,0.6197183098504264,0.9999999999772728,0.7652173908186011,0.9821428571428571,0.8309859154929577,0.8333333333159723,0.909090909070248,0.869565216873346,"0.0, 0.0, 0.0, 0.5017, 0.0, 0.0, 0.4983, 0.0, 0.0, 0.0",2,10.0,100.0,0.055001020431518555,Success
spambase,3680,921,0.9904891304347826,0.9391965255157437,0.932011331442119,0.9113573407176971,0.9215686269484618,759.1032495459817,0.6080347448425625,0.0,0.0,0.0,0.9410326086956522,0.9294245385450597,0.9252873563191802,0.8919667590002993,0.9083215791873097,"0.2, 0.0, 0.0, 0.2, 0.0, 0.2, 0.2, 0.0, 0.0, 0.2",5,5.0,0.01,9.41103196144104,Success
banknote,1097,275,1.0,1.0,0.9999999999918032,0.9999999999918032,0.9999999994918032,42.1299788623059,0.5563636363636364,0.0,0.0,0.0,0.9908842297174111,0.9927272727272727,0.983870967734001,0.9999999999918032,0.991869918191156,"0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0",1,5.0,0.01,0.5300259590148926,Success
heart,242,61,1.0,0.9344262295081968,0.9230769230414201,0.9230769230414201,0.92307692254142,98.75053561886085,0.5737704918032787,0.0,0.0,0.0,0.8264462809917356,0.9016393442622951,0.9166666666284722,0.8461538461213017,0.8799999994655999,"0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.0, 0.0, 0.25",4,100.0,0.1,0.32889485359191895,Success
haberman,244,62,0.860655737704918,0.6612903225806451,0.6851851851724966,0.9024390243682333,0.7789473679140165,431.9692124411673,0.6612903225806451,0.6612903225699792,0.9999999999756098,0.7961165043596946,0.7540983606557377,0.6451612903225806,0.655737704907283,0.9756097560737657,0.7843137249940407,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0",1,5.0,0.01,0.02239990234375,Success
mammographic,768,193,0.8684895833333334,0.8341968911917098,0.8048780487706721,0.8048780487706721,0.8048780482706721,1173.2434116933389,0.5751295336787565,0.0,0.0,0.0,0.8333333333333334,0.8290155440414507,0.7951807228819857,0.8048780487706721,0.7999999994903213,"0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0",3,5.0,0.01,0.3186018466949463,Success
parkinsons,156,39,1.0,0.8974358974358975,0.8709677419073881,0.999999999962963,0.9310344822288941,37.06163963917802,0.6923076923076923,0.6923076922899409,0.999999999962963,0.8181818176735537,0.9230769230769231,0.8974358974358975,0.8965517241070154,0.9629629629272977,0.928571428038903,"0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0",4,100.0,0.1,0.25394701957702637,Success
