=== Kernel Computation Profiling (All Functions) ===

 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
 19828         0 @Base/Base.jl            495 include(mod::Module, _path::Strin…
    17         0 @Base/abstractarray.jl  1324 _getindex
     1         0 @Base/abstractarray.jl    98 axes
     1         0 @Base/abstractarray.jl   137 axes1
     1         0 @Base/abstractarray.jl   687 checkbounds
     1         0 @Base/abstractarray.jl   763 checkindex
     3         0 @Base/abstractarray.jl   923 copy!
     1         0 @Base/abstractarray.jl   925 copy!
     1         0 @Base/abstractarray.jl   321 eachindex
    19         0 @Base/abstractarray.jl  1291 getindex
     1         0 @Base/abstractarray.jl  1220 isempty
     2         0 @Base/abstractarray.jl   831 similar
  7202         0 @Base/abstractarray.jl   876 similar
  7202         0 @Base/abstractarray.jl   877 similar
     1         0 @Base/abstractdict.jl     17 haskey
     1         0 @Base/abstractdict.jl     64 iterate
     1         1 @Base/array.jl          1026 __inbounds_setindex!
     1         0 @Base/array.jl          1196 _append!(a::Vector{Int64}, ::Core…
     1         0 @Base/array.jl          1197 _append!(a::Vector{Core.Compiler.…
     1         0 @Base/array.jl          1207 _append!(a::Vector{Int64}, ::Core…
     1         0 @Base/array.jl          1208 _append!(a::Vector{Int64}, ::Core…
     2         0 @Base/array.jl           722 _array_for
    15         0 @Base/array.jl           723 _array_for
    17         0 @Base/array.jl           726 _array_for
     1         0 @Base/array.jl           699 _collect(::Type{Int64}, itr::Core…
     1         1 @Base/array.jl           371 _copyto_impl!(dest::Vector{Int64}…
     1         0 @Base/array.jl           374 _copyto_impl!(dest::Vector{Any}, …
     2         2 @Base/array.jl          1081 _deleteend!
    35        35 @Base/array.jl          1072 _growend!
     2         0 @Base/array.jl          1183 append!
     4         0 @Base/array.jl          1187 append!
     2         1 @Base/array.jl           694 collect
    11        11 @Base/array.jl           411 copy
     3         1 @Base/array.jl           368 copyto!
     1         0 @Base/array.jl           388 copyto!
     1         0 @Base/array.jl          1842 empty!
    17         0 @Base/array.jl           582 fill
    17         0 @Base/array.jl           584 fill
     1         1 @Base/array.jl             ? find_ssavalue_uses(body::Vector{A…
    45         0 @Base/array.jl           448 getindex
     1         1 @Base/array.jl           463 getindex(::Type{Any}, ::Any, ::An…
     2         0 @Base/array.jl           975 getindex
     1         0 @Base/array.jl           268 isassigned
     6         1 @Base/array.jl           945 iterate
     1         0 @Base/array.jl          1401 pop!
    24         0 @Base/array.jl          1119 push!
     1         0 @Base/array.jl          1120 push!
     1         0 @Base/array.jl          1126 push!
     8         0 @Base/array.jl          1315 resize!
     4         4 @Base/array.jl          1021 setindex!
  4009      4009 @Base/array.jl          1024 setindex!
    29         0 @Base/array.jl           420 similar
     1         1 @Base/array.jl           191 size
     1         0 @Base/array.jl           160 vect
     3         0 @Base/array.jl           632 zeros
     3         0 @Base/array.jl           636 zeros
  4166         0 @Base/arraymath.jl        16 +(A::Matrix{Float64}, Bs::Matrix{…
     2         0 @Base/bitarray.jl         37 BitArray
     1         1 @Base/bitarray.jl         39 BitArray
     3         0 @Base/bitarray.jl         71 BitArray
     3         0 @Base/bitarray.jl        403 falses
     3         0 @Base/bitarray.jl        405 falses(dims::Tuple{Int64})
     5         1 @Base/bitset.jl           18 BitSet
     1         0 @Base/bitset.jl           59 _bits_getindex
     1         1 @Base/bitset.jl          363 _check0
     2         0 @Base/bitset.jl          111 _growend0!
     2         0 @Base/bitset.jl           95 _setint!
     1         1 @Base/bitset.jl          339 first
     1         0 @Base/bitset.jl          323 in
     1         0 @Base/bitset.jl          284 isempty
     2         0 @Base/bitset.jl          248 push!
   185       185 @Base/boot.jl            477 Array
  7214      7214 @Base/boot.jl            479 Array
    37         0 @Base/boot.jl            486 Array
  7214         0 @Base/boot.jl            487 Array
  7187         0 @Base/boot.jl            494 Array
    29         0 @Base/boot.jl            496 Array
     1         0 @Base/boot.jl            788 UInt32
 19828      1296 @Base/boot.jl            385 eval
     1         1 @Base/boot.jl            755 toUInt32
   538         0 @Base/broadcast.jl       675 _broadcast_getindex
   911         0 @Base/broadcast.jl       681 _broadcast_getindex
  4735         0 @Base/broadcast.jl       682 _broadcast_getindex
  4735       208 @Base/broadcast.jl       709 _broadcast_getindex_evalf
   635         0 @Base/broadcast.jl       705 _getindex
   523         0 @Base/broadcast.jl       706 _getindex
  4166         0 @Base/broadcast.jl       892 broadcast_preserving_zero_d
 16589         0 @Base/broadcast.jl       928 copy
  9402         0 @Base/broadcast.jl       956 copyto!
  9402         0 @Base/broadcast.jl      1003 copyto!
  5273         0 @Base/broadcast.jl       636 getindex
  9166         0 @Base/broadcast.jl      1004 macro expansion
